"action.activitystream.comment","コメントを書く"
"com.orchestral.rhapsody.webservice.producer.i18n.storedkey_4_2.xpathevaluatedtoprimitive","XPath ''{0}'' が結果をSOAP応答に挿入に使用できなかったプリミティブ値 ''{1}'' として評価しました"
"com.orchestral.rhapsody.webservice.producer.i18n.storedkey_4_2.xpathevaluatedtounknownresult","XPath ''{0}'' が不明な結果 ''{1}'' として評価しました"
"com.orchestral.rhapsody.webservice.producer.i18n.storedkey_4_2.xpathmatchedmultiplenodes","Xpath ''{0}'' がメッセージの中で複数のノードにマッチした受信SOAPリクエストからメッセージ本文を取り出すように設定しましたconfigured to populate the message body from the incoming SOAP request matched multiple nodes in the message."
"com.orchestral.rhapsody.webservice.producer.i18n.storedkey_4_2.xpathselectednonodes","XPath ''{0}'' が評価の時テンプレートの中でノードを選択しませんでした"
"com.orchestral.rhapsody.webservice.producer.i18n.storedkey_4_2.xsdfoundandreturned","{0}
リクエストされた XSD が見つかり、返しました"
"com.orchestral.rhapsody.webservice.producer.i18n.storedkey_4_2.xsdnotfound404","{0}
リクエストされた XSD が見つかりません - 404を返しました"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.cannothavemultiplerootelements","複数のルート要素ではいけません"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.caughtillegalargumentexception","URLからインポート中に IllegalArgumentException を捕捉しました"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.caughtomexception","OMException forceParsing the XML stream を捕捉しました"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.errorclosingstream","ルート・スキーマのストリームをクローズ中に　I/O エラーが発生しました"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.errorparsingschema","テンプレート・ジェネレータにスキーマを構文解析中にI/Oエラーが発生しました"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.errorretrievingxsd","XSD ''{0}'' を読み出し中に I/O エラーが発生しました"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.failedtoparseasxml","SOAP応答に挿入中に、XMLとしてメッセージを構文解析できませんでした"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.ignoringrequestforartifact","このロケーターがURLｓからのインポートを無視するよう指示されたため、 ''{0}'' でのアーティファクトへのリクエストを無視しています"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.illegalargument","URL ''{0}'' からアーティファクトの読出しを試行中に不正な引き数がありました"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.invalidurl","''{1}'' に関連するURLにロケーション ''{0}'' をインポート/含むよう変換を試行中に無効なURLが検出されました"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.noresultsfoundevaluatingxpath","テンプレートに対してXpath ''{0}'' を評価中に結果が見つかりません"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.potentialhandshakeexception","SSLハンドシェイクを試行中にソケット例外が発生しました"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.retrievingartifact","''{0}'' からアーティファクトを読み出しています"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.unknownalgorithmsuite","不明なアルゴリズム・スイート ''{0}''"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.unknownimporttype","不明なインポート・タイプ ''{0}''"
"com.orchestral.rhapsody.webservice.util.i18n.storedkey_4_2.xpathmatchedanattributed","要素ノード挿入のターゲット・ロケーションとして使用できない場合、XPath ''{0}'' 属性にマッチしました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.authenticationenabledwithoutusers","Webサービスが発呼者の認証を要求しますが、設定では認証済みユーザーがありません"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.configuredkeynotprivatekey","設定された秘密鍵 ''{0}'' が本当の秘密鍵ではありません"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.duplicatecustomelementname","オペレーション ''{1}'' の {0} 引数とオペレーション ''{3}'' の {2} の引数が重複の引数名 ''{4}'' を使用します"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.duplicateoperationname","重複のWebサービス・オペレーション名 ''{0}''."
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.duplicateservicename","重複のWebサービス名 ''{0}''."
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.duplicatesoapaction","オペレーション ''{1}'' と ''{2}'' に使われた重複のSOAPアクション ''{0}''"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.duplicatewsaddressingaction","重複のWS-Addressing アクション ''{0}'' がオペレーション ''{2}'' の {1} の引数とオペレーション ''{4}'' の {3} の引数に使用されています"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.errorcompilingschemasfortemplategeneration","テンプレート生成のためのスキーマをコンパイル中にエラーが発生しました: ''{0}''"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.errorconnectingtoserverwhenretrievingrootwsdl","''{0}'' からWSDLを読み出し中にエラーが発生しました: {1}"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.errorconnectingtoserverwhenretrievingwsdl","''{0}'' からWSDLを読み出し中にエラーが発生しました: {1}"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.errorconnectingtoserverwhenretrievingxsd","''{0}'' からXSDを読み出し中にエラーが発生しました: {1}"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.errorduringsslhandshakewhenretrievingrootwsdl","''{0}'' からWSDL読出しの時、SSLハンドシェイク中にエラーが発生しました: ''{1}''"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.errorduringsslhandshakewhenretrievingwsdl","''{0}'' からWSDL読出しの時、SSLハンドシェイク中にエラーが発生しました: ''{1}''"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.errorduringsslhandshakewhenretrievingxsd","''{0}'' からXSD読出しの時、SSLハンドシェイク中にエラーが発生しました: ''{1}''"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.errorgeneratingserviceobjects","Webサービス・オブジェクトを生成中にエラーが発生しました: {0}"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.errorgeneratingwsdl","WSDLを生成中にエラーが発生しました: {0}"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.erroroccurredprocessingwsdl","WSDLを構文解析若しくは処理中にエラーが発生しました: {0}"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.errorparsingtemplateduringmessagetemplategeneration","メッセージのテンプレートを生成の時、XMLテンプレートを構文解析中にエラーが発生しました: {0}"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.errorretrievingprivatekey","秘密鍵 ''{0}'' を読み出し中にセキュリティー・エラーが発生しました: {1}"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.faultparameterprovidedforinonlyoperation","フォルト引数がin-onlyのオペレーション ''{0}'' に対して設定されました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.httpauthenticationrequiredwhenretrievingrootwsdl"," ''{0}'' からWSDLを読み出すには、HTTP ベーシック/ダイジェスト認証が必須です"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.httpauthenticationrequiredwhenretrievingwsdl"," ''{0}'' からWSDLを読み出すには、HTTP ベーシック/ダイジェスト認証が必須です"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.httpauthenticationrequiredwhenretrievingxsd"," ''{0}'' からXSDを読み出すには、HTTP ベーシック/ダイジェスト認証が必須です"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.httperrorwhenretrievingrootwsdlfromurl","URL ''{0}'' からWSDLを読み出し中にHTTPエラー ''{3}'' ({2,number,###}) が発生しました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.httperrorwhenretrievingwsdlfromurl","URL ''{0}'' からWSDLを読み出し中にHTTPエラー ''{3}'' ({2,number,###}) が発生しました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.httperrorwhenretrievingxsdfromurl","URL ''{0}'' からXSDを読み出し中にHTTPエラー ''{3}'' ({2,number,###}) が発生しました。最後にインポートを成功したXSDは''{1}'' でした"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.httpsclientcertsrequireshttps","HTTPSクライアント証明書認証モードにHTTPSプロトコルが必要です"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.invalidcharsincustomtypechild","オペレーション ''{2}'' の {1} 引数の子要素名 ''{0}'' 不正な文字が含まれています"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.invalidcharsinoperationname","Webサービス・オペレーション名 ''{0}'' に不正な文字が含まれています"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.invalidcharsinservicename","Webサービス名 ''{0}'' に不正な文字が含まれています"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.invalidcharsinsoapaction","オペレーション ''{1}'' のSOAPアクション ''{0}'' に不正な文字が含まれています"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.invalidserviceport","無効なWebサービスHTTP(S)ポート {0,number,####}."
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.invalidserviceportwithvariable","無効なWebサービスHTTP(S)ポート {0,number,####} ( ''{1}'' として設定されました)."
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.malformedurlwhenimportingrootwsdl","WSDLをインポート中に不正な形式の URL ''{0}'' が指定されました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.malformedurlwhenimportingwsdl","WSDLをインポート中に不正形式の URL ''{0}'' が指定されました。直近インポートを成功したコンポーネントは ''{1}'' でした"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.malformedurlwhenimportingwsdlusingrelativeurl","''{1}'' に関連するパス ''{0}'' のWSDLをインポート中に不正形式のURLがありました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.malformedurlwhenimportingxsd","XSDをインポート中に不正形式のURL ''{0}'' が指定されました。最後にXSDのインポートが成功したのは ''{1}'' でした"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.malformedurlwhenimportingxsdusingrelativeurl","''{1}'' に関連するパス ''{0}'' を持つXSDをインポート中に不正形式のURLがありました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.missingoperationinputparameter","オペレーション ''{0}'' にインプット引数が設定されていません"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.missingoperationname","Webサービスのオペレーション名が欠落しています"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.missingoperationoutputparameter","リクエスト-応答オペレーション ''{0}'' にアウトプット引数が設定されていません"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.missingservicename","Webサービス名が欠落しています"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.missingservicenamespace","Webサービスに名前空間が設定されていません"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.missingserviceport","Webサービスに http(s) ポートが設定されました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.missingtypeinformationforwsdlmessage","オペレーション ''{1}'' に使われるメッセージ ''{0}'' のタイプ情報が提供されていません"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.nooperationsdefined","Webサービスにオペレーションが定義されていません"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.nosoapbindingsconfigured","Webサービスに SOAP 結合が有効になっていません"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.notificationoperationfoundinwsdl","オペレーション ''{0}'' が通知スタイルのオペレーションであり、未対応です"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.notypeinformationinwsdl","WSDLにタイプ情報が見つかりません"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.onlyentirebodycanbesigned","設定されたセキュリティ・オプションはメッセージ本文全体を署名することのみを許可していますが、署名の設定がメッセージ本部の指定部分だけでも可能に設定されています"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.onlyentirebodycanbesignedoperationparameter","設定されたセキュリティ・オプションはメッセージ本文全体を署名することのみを許可していますが、メッセージ本部の一部に対して署名するために、オペレーション ''{1}'' の {0} 引数に対する署名が設定されています"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.outputparameterprovidedforinonlyoperation","in-onlyのオペレーション ''{0}'' のアウトプット引数が設定されました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.privatekeynotfound","設定済の秘密鍵 ''{0}'' が鍵ストアに見つかりません"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.privatekeyrequired","HTTPS若しくは対称・非対称セキュリティー欠号のどっちかを使用する場合に、秘密鍵が必須です"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.rootwsdlnotfoundwhenimportingusingurls","URL ''{0}''　からWSDLを読み出し中にファイルが見つかりません"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.serviceconflictdifferentlocaladdress","Webサービスの共有ポート {0,number,####} が互換性のないローカル・アドレス結合を使用しています: サービス ''{1}'' が {2} に結合され、サービス ''{3}'' が {4} に結合されています"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.serviceconflictdifferentprotocol","Webサービス ''{0}'' と ''{1}'' が異なるプロトコルでポート {2,number,####} を使用しています：一方は HTTP、もう一方は HTTPS を使用しています"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.servicenameconflictswithrhapsodyapi","Webサービス名 ''{0}'' がRhapsodyAPIにある既存Webサービス、若しくは予約済みの名前と競合しています"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.signencryptrequiresasymmetricorsymmetricbinding","署名と暗号化は、対称または非対称のセキュリティー結合が使用される場合のみ有効できます。"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.signencryptrequiresasymmetricorsymmetricbindingoperationparameter","対称または非対称のセキュリティ結合を使用され、且つオペレーション ''{1}'' の {0} 引数を有効な場合のみ、署名と暗号化を有効にできます"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.solicitresponseoperationfoundinwsdl","オペレーション ''{0}'' が要請応答スタイルオペレーションで、未対応です"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.sslhandshakeerrorwhenretrievingrootwsdl"," ''{0}'' からWSDLを読み出し中に、SSL ハンドシェイク・エラー ''{1}'' が発生しました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.sslhandshakeerrorwhenretrievingwsdl"," ''{0}'' からWSDLを読み出し中に、SSL ハンドシェイク・エラー ''{1}'' が発生しました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.sslhandshakeerrorwhenretrievingxsd"," ''{0}'' からXSDを読み出し中に、SSL ハンドシェイク・エラー ''{1}'' が発生しました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.transportbindingrequireshttps","セキュリティ結合が選択された場合は、HTTPSが使われなければなりません"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.unknownhostwhenretrievingrootwsdl","''{0}'' からWSDLを読み出し中に不明なホスト ''{1}'' がありました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.unknownhostwhenretrievingwsdl","''{0}'' からWSDLを読み出し中に不明なホスト ''{1}'' がありました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.unknownhostwhenretrievingxsd","''{0}'' からXDSを読み出し中に不明なホスト ''{1}'' がありました"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.unsupportedbindingstyleinwsdl","結合 ''{1}'' をロード中に未対応の結合スタイル ''{0}'' が見つかりました。文書リテラル/ラップスタイルのみが対応済みです。結合から文書リテラル/ラップへの変換が試行されます"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.wsdlnotfoundwhenimportingusingrelativepaths"," ''{1}'' に関連するパス ''{0}'' のWSDLを読み出し中にファイルが見つかりませんでした。最後に正常にインポートされたファイルは ''{2}'' です"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.wsdlnotfoundwhenimportingusingurls","URL ''{0}'' からWSDLを読み出し中にファイルが見つかりません"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.x509tokenrequiresasymmetricbinding","X509トークン認証は非対称セキュリティ結合の場合のみに使用可能です"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.xsdnotfoundwhenimportingusingrelativepaths"," ''{1}'' に関連するパス ''{0}'' のXSDを読み出し中にファイルが見つかりません。最後に正常にインポートされたXSDは ''{2}'' です"
"com.orchestral.rhapsody.webservice.util.i18n.validationerrorkeyprovider_4_2.xsdnotfoundwhenimportingusingurls","URL ''{0}'' からXSDを読み出し中にファイルが見つかりません。最後にXSDが正常にインポートされたのは ''{1}'' です"
"com.orchestral.rhapsody.xml.i18n.storedkey_4_2.attributemissing","""{1}"" に属性 ""{0}"" が欠落しています"
"com.orchestral.rhapsody.xml.i18n.storedkey_4_2.errorgzippingdata","データをZIP中にエラーが発生しました"
"com.orchestral.rhapsody.xml.i18n.storedkey_4_2.errorinitialisingdomregistry","DOM実装レジストリを初期化できませんでした"
"com.orchestral.rhapsody.xml.i18n.storedkey_4_2.errorunzippingdata","データをUNZIP中にエラーが発生しました"
"com.orchestral.rhapsody.xml.i18n.storedkey_4_2.lsexceptionserialisingtostream","XML文書を出力ストリーミングにシリアル化を試行中にLS例外を捕捉しました"
"com.orchestral.rhapsody.xml.i18n.storedkey_4_2.lsexceptionserialisingtostring","XML文書を文字列にシリアル化を試行中にLS例外を捕捉しました"
"com.orchestral.rhapsody.xml.i18n.storedkey_4_2.unabletoevaluate","nullノードから始まるxpathを評価できません"
"confirm.archivemode.exit","アーカイブ・モードを終了し、本当に通常操作に戻しますか？"
"confirm.backup.deletebackupschedule","バックアップスケジュールを本当に削除しますか？"
"confirm.backup.restorebackup","本当にリストアしますか？"
"confirm.cleanup.cancelrunningcleanup","実行中のアーカイブ・クリーンアップを本当にキャンセルしますか？"
"confirm.delete.entity","選択された {0} を本当に削除しますか？"
"confirm.recentsearches.clearall","すべての検索結果を本当に破棄しますか？"
"confirm.search.deleteallerrorqueuemessages","エラー・キューから全てのメッセージを本当に削除しますか？"
"confirm.search.deleteallholdqueuemessages","保持キューから全てのメッセージを本当に削除しますか？"
"confirm.search.deletealllivequeuemessages","列から全てのメッセージを本当に削除しますか？"
"confirm.search.deletematchederrorqueuemessages","検索条件に一致したエラー・キューにあるメッセージを本当に全て削除しますか？"
"confirm.search.deletematchedholdqueuemessages","検索条件に一致した保持キューにあるメッセージを本当に全て削除しますか？"
"confirm.search.deletematchedlivequeuemessages","検索条件に一致した列にあるメッセージを本当に全て削除しますか？"
"confirm.search.deleteselectedmessages","{0} のメッセージを本当に削除しますか?"
"confirm.search.redirectselectedmessages","{0} のメッセージを本当に再投入しますか？"
"confirm.search.reinjectselectedmessages","{0} のメッセージを本当に ''{1}'' へ転送しますか？"
"confirm.search.releaseselectedmessages","{0} のメッセージを本当にリリースしますか？"
"confirm.search.reprocessselectedmessages","{0} のメッセージを本当に再処理しますか？"
"confirm.search.resendselectedmessages","{0} のメッセージを本当に再送しますか?"
"confirm.suspendallnotifications.suspend.heading","すべての通知を一時停止"
"confirm.suspendallnotifications.suspend.message","すべての通知を本当に一時停止しますか？"
"confirm.watchlist.removeallcomponents","すべてのコンポーネントをウォッチリストから本当に消去しますか？"
"confirm.watchlist.removeallwebservices","すべてのWebサービスをウォッチリストから本当に消去しますか？"
"confirm.watchlists.delete","ウォッチリストを本当に削除しますか？"
"database.state.configured","設定済"
"database.state.configured.detail","一部の設定が与えられましたが、接続がまだ確立されていません。"
"database.state.created","作成済"
"database.state.created.detail","接続を確立できますが、DBは空で、テーブルが含まれていません"
"database.state.created.detail.thirdparty","DBへの接続を確立しました"
"database.state.error","エラー"
"database.state.error.detail","DBへの接続を試行中にエラーが発生しました"
"database.state.notempty","空ではない"
"database.state.notempty.detail","DBにテーブルはありますが、想定のものがありません。例えば: SchemaMetaData."
"database.state.ready","準備完了"
"database.state.ready.detail","DBへの接続を確立しました"
"database.state.stale","失効"
"database.state.unconfigured","未設定"
"database.state.unconfigured.detail","必須な設定が全ては与えられていません。接続がまだ確立されていません"
"database.version.state.match","物理的なDBのバージョンが要求されたバージョンに一致しています"
"database.version.state.physical.newer","物理的なDBのバージョンが要求されたバージョンより新しいです"
"database.version.state.physical.not.found","物理的なDBのバージョンが見つかりません"
"database.version.state.update","物理的なDBのバージョンが要求されたバージョンより古いです。更新が必要です。"
"dialog.add.context.path.empty.error","コンテキスト・パスを空にできません"
"dialog.add.context.path.label","コンテキスト・パス"
"dialog.add.context.path.slash.error","コンテキスト・パスは '/' から開始しなければなりません"
"dialog.add.context.path.title","コンテキスト・パスを作成します"
"dialog.add.security.question.duplicate.error","その値の秘密の質問はすでに存在します"
"dialog.add.security.question.empty.error","秘密の質問を入力してください"
"dialog.add.security.question.label","秘密の質問"
"dialog.add.security.question.title","秘密の質問を追加"
"dialog.core.unsaved.cancel","キャンセル"
"dialog.core.unsaved.discard","破棄"
"dialog.core.unsaved.fatalmessage","現在の形式に保存していない変更があり、致命的な検証エラーがあったため保存できません

変更を破棄しますか？"
"dialog.core.unsaved.leave.page.message","現行のフォームには保存されていない変更があります"
"dialog.core.unsaved.message","現在の形式に保存されていない変更があります。

変更を保存しますか？"
"dialog.core.unsaved.save","保存"
"dialog.core.unsaved.title","保存されていない変更"
"dialog.create.database.description","DBオブジェクト作成に必要なDBスクリプトが実行されます。
本当に実行に進めますか？"
"dialog.create.database.title","DBオプジェクとを作成します"
"dialog.history.column.comment","コメント"
"dialog.history.column.modified","日付が変更されました"
"dialog.history.column.name","スキーマ名"
"dialog.history.column.previous","前の"
"dialog.history.column.version","バージョン"
"dialog.history.description","{0} DBのスキーマ変更履歴"
"dialog.history.title","スキーマの変更履歴"
"dialog.update.database.description","{0} のDBスキーマを更新に必要なDBスクリプトが実行されます
本当に実行に進めますか？ "
"dialog.update.database.title","DBオブジェクトの更新"
"dialog.upload.logo.message","ログイン・ページのロゴに使用する写真を選択します"
"error.503.service.unavailable","Error: 503 Service Unavailable"
"error.503.service.unavailable.message","リクエストされたアプリケーションは現在利用することができません。"
"error.authentication.failed","ログイン失敗しました。ユーザー名とパスワードが正しいかどうかを確認してください。"
"error.codeset.create.codesetnotcreated","コード・セット ''{0}'' が保存されましたが、2秒以内に登録されませんでした。後で表示されるかどうかを確認します"
"error.codeset.create.duplicateidentifier","識別子が ''{0}'' のコード・セットが既に存在しています"
"error.codeset.create.identifierrequired","コード・セットの識別子が必須です"
"error.component.bulkchangenotificationthresholds.servererrors","サーバー上でエラーが発生"
"error.conductor.login.page.missing","Conductor は 標準ログインページが有効化されている必要があります"
"error.cookies.disabled","ブラウザの Cookie が無効になっています。ログインするには有効にする必要があります"
"error.core.certificate.alias","エイリアスが正しくありません"
"error.core.certificate.certificate.file","無効な証明書ファイル"
"error.core.certificate.private.key.generation.keysize","鍵のサイズが正しくありません"
"error.core.certificate.private.key.generation.principal","プリンシパルが正しくありません"
"error.core.certificate.private.key.generation.signingkey","署名証明書エラー"
"error.core.certificate.private.key.generation.validdays","不正への検証"
"error.core.certificate.private.key.import.key.file","無効な秘密鍵ファイル"
"error.core.identity.addattribute.name.exists","スキーマ ''{1}'' に対して、 ''{0}'' という名前の属性が既に存在しています"
"error.core.identity.addattribute.name.missing","属性名が指定されなければなりません"
"error.core.identity.attributemapping.missingsourceattribute","ソースの属性が与えられなければなりません"
"error.core.identity.attributemapping.noitemsavailable","選択可能なグローバル・スキーマ属性はありません"
"error.core.identity.attributemapping.sourceformaterror","ソース属性名とスキーマ名は ''{0}'' で切り離されなければなりません"
"error.core.identity.createattributeschema.name.exists","''{0}'' という名前のスキーマが既に存在しています"
"error.core.identity.createattributeschema.name.missing","スキーマ名が指定されなければなりません"
"error.core.identity.creategroup.name.exists","グループ名 ''{0}'' が既に存在しています"
"error.core.identity.creategroup.name.missing","グループ名が指定されなければなりません"
"error.core.identity.deletestandardattributeschema","標準の属性スキーマを削除できません"
"error.core.identity.groupmapping.noitemsavailable","選択可能なグローバル・スキーマ・グループはありません"
"error.core.identity.groupmapping.valuerequired","マッピング名が空ではいけません"
"error.core.identity.internal.add.namespace.duplicate","重複な名前空間"
"error.core.identity.internal.add.namespace.missing","欠落している名前空間"
"error.core.identity.internal.applicability.no.identity.types","名前空間 {0} に対し、少なくとも一つのアイデンティティ・クラスが設定されなければなりません"
"error.core.identity.type.create.duplicatename","''{0}'' という名前のアイデンティティ・タイプが既に存在しています"
"error.core.identity.type.create.namerequired","アイデンティティ・タイプの名前が必須です"
"error.could.not.create.session","ログインできず、セッションを作成できません。再試行してください"
"error.customthresholds.incorrectfields","ハイライトされたフィールドを訂正してください"
"error.customthresholds.nodaysselected","少なくとも1日が選択されなければなりません"
"error.file.upload.fail","ファイル・アップロードの完了に失敗しました"
"error.identity.not.found","ユーザーのIDをロードできません"
"error.incorrect.form","あなたの {0} アカウントを検証できませんでした。すべての入力された情報が正しいか確認してください。"
"error.inputvalidator.invalidfield","''{0}'': {1}"
"error.inputvalidator.invalidnumber","値は整数でなくてはなりません"
"error.inputvalidator.outofrange","値は {0} と {1} の間でなければなりません"
"error.invaliddate","{0} の値は日付として解釈できませんでした"
"error.invaliddatetime","{0} の値は日付/時間として解釈できませんでした"
"error.invalidemail","{0} の値は有効なメールアドレスではありません"
"error.invalidnumber","{0} の値は数値として解釈できません"
"error.javascript.disabled","あなたのブラウザは JavaScript が無効になっています。ログインするには JavaScript を有効にする必要があります。"
"error.javascriptcounters.globalcountervaluenotvalid","JavaScriptのカウンター名 ''{0}'' の値が有効な数値でなければなりません"
"error.log.export.from.invalid","From 時間が有効ではありません"
"error.log.export.from.required","From 時間は必須フィールドです"
"error.log.export.fromafterto","From 時間は To 時間の後にはなりません"
"error.log.export.to.invalid","To 時間が有効ではありません"
"error.login.exception","ログインを試行中にエラーが発生しました: {0}。再試行してください"
"error.login.no.authenticator","セキュリティ・ドメインのユーザー識別が見つからないため、ログインできません。"
"error.login.session.timeout","ログイン・セッションがタイムアウトになりました。再試行してください"
"error.no.identity","このユーザーのIDが存在していません"
"error.no.login.mechanisms","少なくとも１つのログイン方法が提供されなければなりません。"
"error.notanenumeratedvalue","{0} の値が無効です"
"error.notauthenticated","未認証です"
"error.notificationdeliverymethods.concurrentmodification","別のユーザーが通知の配信方法を変更しました。"
"error.notificationdeliverymethods.phonenumberformat","電話番号の形式は正しくありません"
"error.notificationpreferences.emailisrequired","メールは必須フィールドです"
